Country/Area,total_capacity_mw,annual_generation_twh,unit_count,capacity_factor,Region,total_capacity_gw
China,387222.0,2909.928336,352,0.8582386363636364,Asia,387.222
United States,323173.3,2451.2324418,410,0.8614634146341463,Americas,323.1733
Russia,101933.0,771.509406,126,0.8642857142857143,Europe,101.933
France,88277.0,686.082762,83,0.8843373493975905,Europe,88.277
Japan,77453.0,582.519852,81,0.858641975308642,Asia,77.453
India,50560.0,380.07887999999997,67,0.8656716417910447,Asia,50.56
United Kingdom,44198.0,331.9602,88,0.8551136363636364,Europe,44.198
South Korea,42661.0,329.510904,38,0.8842105263157896,Asia,42.661
Ukraine,39863.0,302.87962799999997,40,0.86875,Europe,39.863
Canada,33842.0,258.395034,50,0.8690000000000001,Americas,33.842
Germany,33949.0,252.784254,45,0.85,Europe,33.949
Poland,21222.0,158.019012,56,0.85,Europe,21.222
Uganda,18000.0,134.028,16,0.85,Africa,18.0
Spain,17269.0,131.829678,19,0.868421052631579,Europe,17.269
Türkiye,14700.0,109.4562,12,0.85,Asia,14.7
Czech Republic,11864.0,90.163176,15,0.87,Europe,11.864
Sweden,11452.0,88.418184,13,0.8730769230769231,Europe,11.452
Switzerland,10382.0,78.659982,11,0.8681818181818183,Europe,10.382
Bulgaria,9840.0,74.17968,12,0.8583333333333334,Europe,9.84
Finland,9422.0,72.18064799999999,8,0.88125,Europe,9.422
Kazakhstan,9690.0,72.15174,9,0.85,Asia,9.69
Vietnam,9200.0,68.50319999999999,8,0.85,Asia,9.2
Iran,8914.0,66.811644,11,0.8545454545454546,Asia,8.914
Taiwan,7844.0,58.406424,8,0.85,Asia,7.844
Indonesia,7500.0,55.845,11,0.85,Asia,7.5
Belgium,6219.0,48.100722000000005,8,0.88125,Europe,6.219
United Arab Emirates,5668.0,44.686512,4,0.9,Asia,5.668
South Africa,5240.0,39.86676,4,0.875,Africa,5.24
Slovakia,5165.0,39.540888,10,0.875,Europe,5.165
Lithuania,5300.0,39.4638,4,0.85,Europe,5.3
Pakistan,4830.0,37.51032,8,0.8875,Asia,4.83
Kenya,5000.0,37.23,5,0.85,Africa,5.0
Nigeria,4800.0,35.7408,4,0.85,Africa,4.8
Egypt,4800.0,35.7408,4,0.85,Africa,4.8
Hungary,4557.0,34.819248,6,0.8833333333333333,Europe,4.557
Belarus,4388.0,33.718992,4,0.875,Europe,4.388
Mexico,4408.0,33.526272,4,0.875,Americas,4.408
Argentina,4142.0,31.613526,9,0.8666666666666667,Americas,4.142
Romania,4019.0,30.543492,11,0.859090909090909,Europe,4.019
Netherlands,3875.0,29.07882,4,0.8625,Europe,3.875
Brazil,3395.0,26.15079,3,0.8833333333333333,Americas,3.395
Italy,3490.0,25.986539999999998,6,0.85,Europe,3.49
Uzbekistan,2730.0,20.32758,8,0.85,Asia,2.73
Azerbaijan,2500.0,18.615000000000002,2,0.85,Asia,2.5
Bangladesh,2400.0,17.8704,2,0.85,Asia,2.4
North Korea,2285.0,17.016299999999998,6,0.8583333333333334,Asia,2.285
Ghana,2124.0,15.815304000000001,13,0.8499999999999999,Africa,2.124
Jordan,2120.0,15.78552,2,0.85,Asia,2.12
Armenia,2056.0,15.5052,3,0.8666666666666667,Asia,2.056
Slovenia,1827.0,13.922267999999999,2,0.875,Europe,1.827
Philippines,1861.0,13.857006,4,0.85,Asia,1.861
Israel,1500.0,11.169,2,0.85,Asia,1.5
Norway,1200.0,8.9352,4,0.85,Europe,1.2
Cuba,880.0,6.55248,2,0.85,Americas,0.88
Austria,723.0,5.383458,1,0.85,Europe,0.723
Puerto Rico,601.0,4.475046,2,0.85,Americas,0.601
Thailand,600.0,4.4676,2,0.85,Asia,0.6
Estonia,600.0,4.4676,2,0.85,Europe,0.6
Sri Lanka,300.0,2.2338,2,0.85,Asia,0.3
Kyrgyzstan,110.0,0.81906,2,0.85,Asia,0.11
Panama,10.0,0.07446,1,0.85,Americas,0.01
