year,generation_twh,avoided_emissions_mtco2,cumulative_avoided_mtco2,cumulative_avoided_gtco2
2025,3394.982676,2176324.615956,2176324.615956,2176.324615956
2026,3487.0796219999997,2241306.340194,4417630.95615,4417.63095615
2027,3568.1740080000004,2298089.677668,6715720.633818001,6715.720633818
2028,3674.2571700000003,2371268.094486,9086988.728304,9086.988728304
2029,3824.084706,2472906.52797,11559895.256274,11559.895256274
2030,3928.9458480000008,2534661.070836,14094556.32711,14094.55632711
2031,4017.028962,2596648.7768699997,16691205.10398,16691.20510398
2032,4060.575798,2623899.4032659996,19315104.507246,19315.104507246
2033,4058.883366,2621690.69541,21936795.202656,21936.795202656
2034,4006.4792939999998,2587794.31341,24524589.516066,24524.589516066
2035,4062.383862,2623853.113674,27148442.62974,27148.44262974
2036,4091.242806,2639129.2817220003,29787571.911462,29787.571911462
2037,4094.46999,2639458.606914,32427030.518376,32427.030518376
2038,4078.602126,2628665.8471620004,35055696.365538,35055.696365538
2039,4033.6002540000004,2602220.5301940003,37657916.895732,37657.916895732
2040,3966.783354,2561595.6894300003,40219512.585162,40219.512585161996
2041,3845.093814,2489422.250034,42708934.835195996,42708.93483519599
2042,3814.795602,2470864.110318,45179798.94551399,45179.79894551399
2043,3714.99993,2410618.886982,47590417.832495995,47590.417832495994
2044,3563.043714,2316940.0636859997,49907357.89618199,49907.357896181995
2045,3342.5755380000005,2180471.965686,52087829.861867994,52087.82986186799
2046,3171.9894299999996,2074827.650778,54162657.512646,54162.657512645994
2047,3042.794322,1995689.5173179999,56158347.029964,56158.347029964
2048,2879.4614939999997,1896339.8195459999,58054686.84951,58054.68684951
2049,2769.700446,1830611.51073,59885298.36024,59885.29836024
2050,2707.1645579999995,1791672.655482,61676971.015722,61676.971015721996
