year,generation_twh,target_generation_twh,gap_twh,gap_percentage
2019,0.0,2792.0,2792.0,100.0
2020,0.0,2698.0000000000005,2698.0000000000005,100.0
2025,3394.9826760000005,3237.5,-157.4826760000002,-4.864329760617767
2026,3487.079622,0.0,-3487.079622,-inf
2027,3568.1740080000004,0.0,-3568.1740080000004,-inf
2028,3674.25717,0.0,-3674.25717,-inf
2029,3824.0847060000006,0.0,-3824.0847060000006,-inf
2030,3928.9458480000003,3777.0,-151.94584800000018,-4.022924225575859
2031,4017.0289619999994,0.0,-4017.0289619999994,-inf
2032,4060.575798,0.0,-4060.575798,-inf
2033,4058.883366,0.0,-4058.883366,-inf
2034,4006.4792939999998,0.0,-4006.4792939999998,-inf
2035,4062.3838619999997,4316.0,253.61613800000015,5.8761848470806335
2036,4091.242806,0.0,-4091.242806,-inf
2037,4094.4699900000005,0.0,-4094.4699900000005,-inf
2038,4078.602126,0.0,-4078.602126,-inf
2039,4033.600254,0.0,-4033.600254,-inf
2040,3966.783354,4855.0,888.2166459999997,18.294884572605554
2041,3845.093814,0.0,-3845.093814,-inf
2042,3814.795602,0.0,-3814.795602,-inf
2043,3714.99993,0.0,-3714.99993,-inf
2044,3563.043714,0.0,-3563.043714,-inf
2045,3342.575538,5176.000000000001,1833.4244620000002,35.421647256568775
2046,3171.9894299999996,0.0,-3171.9894299999996,-inf
2047,3042.7943219999997,0.0,-3042.7943219999997,-inf
2048,2879.4614939999997,0.0,-2879.4614939999997,-inf
2049,2769.700446,0.0,-2769.700446,-inf
2050,2707.164558,5497.0,2789.8354420000005,50.75196365290159
