year,capacity_gw,generation_twh,unit_count
2025,432.341,3394.9826760000005,452
2026,444.73600000000005,3487.079622,466
2027,455.62699999999995,3568.1740080000004,482
2028,469.874,3674.2571700000003,499
2029,490.05600000000004,3824.084706,546
2030,504.409,3928.9458480000003,578
2031,516.412,4017.0289619999994,592
2032,522.446,4060.575798,601
2033,522.663,4058.883366,602
2034,516.35,4006.479294,595
2035,524.582,4062.383862,612
2036,528.698,4091.242806,623
2037,529.489,4094.4699900000005,622
2038,527.543,4078.602126,620
2039,521.835,4033.6002540000004,614
2040,513.61,3966.783354,605
2041,498.175,3845.093814,588
2042,494.332,3814.795602,583
2043,481.674,3714.99993,569
2044,462.4,3563.043714,549
2045,434.436,3342.5755380000005,521
2046,412.799,3171.9894299999996,501
2047,396.412,3042.7943219999997,486
2048,375.695,2879.4614939999997,468
2049,361.773,2769.700446,453
2050,353.841,2707.1645579999995,445
