Country/Area,Region,Subregion,State/Province,Project Name,Unit Name,Status,Reactor Type,Model,capacity_numeric,capacity_factor,annual_generation_twh,Start Year,Retirement Year,Commercial Operation Date,Construction Start Date,Latitude,Longitude
Argentina,Americas,Latin America and the Caribbean,Buenos Aires,Atucha nuclear power plant,1,operating,pressurized heavy water reactor,PHWR KWU,362.0,0.9,2.854008,1974.0,,1974-06-24,1968-06-01,-33.96701,-59.2095
Argentina,Americas,Latin America and the Caribbean,Buenos Aires,Atucha nuclear power plant,2,operating,pressurized heavy water reactor,PHWR KWU,745.0,0.9,5.87358,2016.0,,2016-05-25,1981-07-13,-33.9672,-59.2073
Argentina,Americas,Latin America and the Caribbean,Buenos Aires,Atucha nuclear power plant,3,shelved,pressurized water reactor,Hualong One,1150.0,0.85,8.5629,,,,,-33.9672,-59.2075
Argentina,Americas,Latin America and the Caribbean,,Atucha nuclear power plant,SMR 1,announced,small modular reactor,ACR-300,300.0,0.85,2.2338,2030.0,,2030,,-33.968699061612,-59.2077360343795
Argentina,Americas,Latin America and the Caribbean,,Atucha nuclear power plant,SMR 2,announced,small modular reactor,ACR-300,300.0,0.85,2.2338,,,,,-33.968699061612,-59.2077360343795
Argentina,Americas,Latin America and the Caribbean,,Atucha nuclear power plant,SMR 3,announced,small modular reactor,ACR-300,300.0,0.85,2.2338,,,,,-33.968699061612,-59.2077360343795
Argentina,Americas,Latin America and the Caribbean,,Atucha nuclear power plant,SMR 4,announced,small modular reactor,ACR-300,300.0,0.85,2.2338,,,,,-33.968699061612,-59.2077360343795
Argentina,Americas,Latin America and the Caribbean,Buenos Aires,CAREM nuclear power plant,--,mothballed,pressurized water reactor,CAREM Prototype (Integrated-PWR),29.0,0.85,0.215934,,,,2015-08-25,-33.9678,-59.21301
Argentina,Americas,Latin America and the Caribbean,Córdoba,Embalse nuclear power plant,--,operating,pressurized heavy water reactor,CANDU 6,656.0,0.9,5.171904,1984.0,,1984-01-20,1974-04-01,-32.2316,-64.4422
Armenia,Asia,Western Asia,Armavir Province,Armenian nuclear power plant,1,retired,pressurized water reactor,VVER V-270,408.0,0.85,3.037968,1977.0,1989.0,1977-10-06,1969-07-01,40.1817,44.1423
Armenia,Asia,Western Asia,Armavir Province,Armenian nuclear power plant,2,operating,pressurized water reactor,VVER V-270,448.0,0.9,3.532032,1980.0,2026.0,1980-05-03,1975-07-01,40.1817,44.1423
Armenia,Asia,Western Asia,Armavir Province,Armenian nuclear power plant,3,announced,unknown,unknown,1200.0,0.85,8.9352,,,,,40.1817,44.1423
Austria,Europe,Western Europe,Lower Austria,Zwentendorf nuclear power plant,1,cancelled,boiling water reactor,unknown,723.0,0.85,5.383458,,,,1971-05-01,48.3546,15.88501
Azerbaijan,Asia,Western Asia,Hajigabul District,Navai New nuclear power plant,1,cancelled,unknown,unknown,1500.0,0.85,11.169,,,,,40.0161,49.1355
Azerbaijan,Asia,Western Asia,Hajigabul District,Navai Original nuclear power plant,1,cancelled,unknown,unknown,1000.0,0.85,7.446,,,,,40.0161,49.1355
Bangladesh,Asia,Southern Asia,Rajshahi Division,Rooppur nuclear power plant,1,construction,pressurized water reactor,VVER V-523,1200.0,0.85,8.9352,2025.0,,2025,2017-11-30,24.0656,89.0453
Bangladesh,Asia,Southern Asia,Rajshahi Division,Rooppur nuclear power plant,2,construction,pressurized water reactor,VVER V-523,1200.0,0.85,8.9352,,,,2018-07-14,24.0656,89.0453
Belarus,Europe,Eastern Europe,Hrodna Region,Astravets nuclear power plant,1,operating,pressurized water reactor,VVER V-491,1194.0,0.9,9.413496,2021.0,,2021-06-10,2013-11-08,54.7598,26.0937
Belarus,Europe,Eastern Europe,Hrodna Region,Astravets nuclear power plant,2,operating,pressurized water reactor,VVER V-491,1194.0,0.9,9.413496,2023.0,,2023-11-01,2014-04-27,54.7598,26.0937
Belarus,Europe,Eastern Europe,Minsk Region,Minsk nuclear power plant,1,cancelled,pressurized water reactor,VVER V-1000,1000.0,0.85,7.446,,,,1983,53.7208,28.0445
Belarus,Europe,Eastern Europe,Minsk Region,Minsk nuclear power plant,2,cancelled,pressurized water reactor,VVER V-1000,1000.0,0.85,7.446,,,,1983,53.7208,28.0445
Belgium,Europe,Western Europe,Antwerp,BR3 nuclear power plant,3,retired,pressurized water reactor,Prototype,12.0,0.85,0.089352,1962.0,1987.0,1962-10-10,1957-11-01,51.2169,5.0998
Belgium,Europe,Western Europe,East Flanders,Doel nuclear power plant,1,operating,pressurized water reactor,WH 2LP,454.0,0.9,3.579336,1975.0,,1975-02-15,1969-07-01,51.3254,4.2597
Belgium,Europe,Western Europe,East Flanders,Doel nuclear power plant,2,operating,pressurized water reactor,WH 2LP,454.0,0.9,3.579336,1975.0,,1975-12-01,1971-09-01,51.3254,4.2597
Belgium,Europe,Western Europe,East Flanders,Doel nuclear power plant,3,retired,pressurized water reactor,WH 3LP,1056.0,0.85,7.862976,1982.0,2022.0,1982-10-01,1975-01-01,51.3254,4.2597
Belgium,Europe,Western Europe,East Flanders,Doel nuclear power plant,4,operating,pressurized water reactor,WH 3LP,1090.0,0.9,8.59356,1985.0,2035.0,1985-07-01,1978-12-01,51.3254,4.2597
Belgium,Europe,Western Europe,Liège,Tihange nuclear power plant,1,operating,pressurized water reactor,Framatome 3 loops reactor,1009.0,0.9,7.954956,1975.0,,1975-10-01,1970-06-01,50.5334,5.2714
Belgium,Europe,Western Europe,Liège,Tihange nuclear power plant,2,retired,pressurized water reactor,WH 3LP,1055.0,0.85,7.85553,1983.0,2023.0,1983-06-01,1976-04-01,50.5334,5.2714
Belgium,Europe,Western Europe,Liège,Tihange nuclear power plant,3,operating,pressurized water reactor,WH 3LP,1089.0,0.9,8.585676,1985.0,2035.0,1985-09-01,1978-11-01,50.5334,5.2714
Brazil,Americas,Latin America and the Caribbean,Rio de Janeiro,Angra nuclear power plant,1,operating,pressurized water reactor,WH 2LP,640.0,0.9,5.04576,1985.0,,1985-01-01,1971-05-01,-23.0069,-44.4585
Brazil,Americas,Latin America and the Caribbean,Rio de Janeiro,Angra nuclear power plant,2,operating,pressurized water reactor,PRE KONVOI,1350.0,0.9,10.6434,2001.0,,2001-02-01,1976-01-01,-23.0077,-44.4598
Brazil,Americas,Latin America and the Caribbean,Rio de Janeiro,Angra nuclear power plant,3,construction,pressurized water reactor,PRE KONVOI,1405.0,0.85,10.46163,2031.0,,2031,2010-05-30,-23.0091,-44.47201
Bulgaria,Europe,Eastern Europe,,Belene nuclear power plant,1,cancelled,unknown,unknown,1000.0,0.85,7.446,,,,,43.6294,25.1867
Bulgaria,Europe,Eastern Europe,,Belene nuclear power plant,2,cancelled,unknown,unknown,1000.0,0.85,7.446,,,,,43.6294,25.1867
Bulgaria,Europe,Eastern Europe,,Belene Original nuclear power plant,1,cancelled,pressurized water reactor,VVER V-320,1000.0,0.85,7.446,,,,1987,43.6294,25.1867
Bulgaria,Europe,Eastern Europe,,Belene Original nuclear power plant,2,cancelled,pressurized water reactor,VVER V-320,1000.0,0.85,7.446,,,,,43.6294,25.1867
Bulgaria,Europe,Eastern Europe,,Kozloduy nuclear power plant,1,retired,pressurized water reactor,VVER V-230,440.0,0.85,3.27624,1974.0,2002.0,1974-10-28,1970-04-01,43.7497,23.7685
Bulgaria,Europe,Eastern Europe,,Kozloduy nuclear power plant,2,retired,pressurized water reactor,VVER V-230,440.0,0.85,3.27624,1975.0,2002.0,1975-11-10,1970-04-01,43.7497,23.7685
Bulgaria,Europe,Eastern Europe,,Kozloduy nuclear power plant,3,retired,pressurized water reactor,VVER V-230,440.0,0.85,3.27624,1981.0,2006.0,1981-01-20,1973-10-01,43.7497,23.7685
Bulgaria,Europe,Eastern Europe,,Kozloduy nuclear power plant,4,retired,pressurized water reactor,VVER V-230,440.0,0.85,3.27624,1982.0,2006.0,1982-06-20,1973-10-01,43.7497,23.7685
