Date Last Researched,Country/Area,Project Name,Unit Name,Project Name in Local Language / Script,Other Name(s),Capacity (MW),Status,Reactor Type,Model,Start Year,Retirement Year,Planned Retirement,Cancellation Year,Construction Start Date,First Criticality Date,First Grid Connection,Commercial Operation Date,Retirement Date,Owner,Owner Name in Local Language / Script,Operator,Operator Name in Local Language / Script,Reference Net Capacity (MW),Design Net Capacity (MW),Thermal Capacity (MWt),Latitude,Longitude,Location Accuracy,City,"Local Area (taluk, county)","Major Area (prefecture, district)",State/Province,Subregion,Region,GEM location ID,GEM unit ID,Wiki URL,capacity_numeric
2025-07-09,Argentina,Atucha nuclear power plant,SMR 1,,Unit IV (Phase 3),300.0,announced,small modular reactor,ACR-300,2030.0,,,,,,,2030,,,,,,,,,-33.968699061612,-59.2077360343795,exact,Atucha,,,,Latin America and the Caribbean,Americas,L100000500166,G100001055220,https://www.gem.wiki/Atucha_nuclear_power_plant,300.0
2025-07-09,Argentina,Atucha nuclear power plant,SMR 2,,Unit IV (Phase 3),300.0,announced,small modular reactor,ACR-300,,,,,,,,,,,,,,,,,-33.968699061612,-59.2077360343795,exact,Atucha,,,,Latin America and the Caribbean,Americas,L100000500166,G100001055221,https://www.gem.wiki/Atucha_nuclear_power_plant,300.0
2025-07-09,Argentina,Atucha nuclear power plant,SMR 3,,Unit IV (Phase 3),300.0,announced,small modular reactor,ACR-300,,,,,,,,,,,,,,,,,-33.968699061612,-59.2077360343795,exact,Atucha,,,,Latin America and the Caribbean,Americas,L100000500166,G100001055222,https://www.gem.wiki/Atucha_nuclear_power_plant,300.0
2025-07-09,Argentina,Atucha nuclear power plant,SMR 4,,Unit IV (Phase 3),300.0,announced,small modular reactor,ACR-300,,,,,,,,,,,,,,,,,-33.968699061612,-59.2077360343795,exact,Atucha,,,,Latin America and the Caribbean,Americas,L100000500166,G100001055223,https://www.gem.wiki/Atucha_nuclear_power_plant,300.0
2025-07-08,Armenia,Armenian nuclear power plant,3,Հայկական ատոմային էլեկտրակայան,Metsamor,1200.0,announced,unknown,unknown,,,,,,,,,,,,,,,,,40.1817,44.1423,exact,,,Vagharshapat region,Armavir Province,Western Asia,Asia,L100000500203,G100000500714,https://www.gem.wiki/Armenian_nuclear_power_plant,1200.0
2025-07-09,Bangladesh,Rooppur nuclear power plant,1,,,1200.0,construction,pressurized water reactor,VVER V-523,2025.0,,,,2017-11-30,,,2025,,Bangladesh Atomic Energy Commission [100%],,Nuclear Power Plant Company Bangladesh,,1080.0,1080.0,3200.0,24.0656,89.0453,exact,,Iswardi,Pabna District,Rajshahi Division,Southern Asia,Asia,L100000500091,G100000500177,https://www.gem.wiki/Rooppur_nuclear_power_plant,1200.0
2025-07-09,Bangladesh,Rooppur nuclear power plant,2,,,1200.0,construction,pressurized water reactor,VVER V-523,,,,,2018-07-14,,,,,Bangladesh Atomic Energy Commission [100%],,Nuclear Power Plant Company Bangladesh,,1080.0,1080.0,3200.0,24.0656,89.0453,exact,,Iswardi,Pabna District,Rajshahi Division,Southern Asia,Asia,L100000500091,G100000500178,https://www.gem.wiki/Rooppur_nuclear_power_plant,1200.0
2025-07-08,Brazil,Angra nuclear power plant,3,,,1405.0,construction,pressurized water reactor,PRE KONVOI,2031.0,,,,2010-05-30,,,2031,,Eletrobras Eletronuclear SA [100%],,Eletrobras Eletronuclear,,1340.0,1340.0,3900.0,-23.0091,-44.47201,exact,Angra dos Reis,,Região Geográfica Intermediária do Rio de Janeiro,Rio de Janeiro,Latin America and the Caribbean,Americas,L100000500026,G100000500042,https://www.gem.wiki/Angra_nuclear_power_plant,1405.0
2025-07-09,Bulgaria,Kozloduy nuclear power plant,7,,,1000.0,pre-construction,pressurized water reactor,AP-1000,2033.0,,,,,,,2033,,,,,,,,,43.7497,23.7685,exact,,Vratsa,,,Eastern Europe,Europe,L100000500097,G100000500717,https://www.gem.wiki/Kozloduy_nuclear_power_plant,1000.0
2025-07-09,Bulgaria,Kozloduy nuclear power plant,8,,,1000.0,pre-construction,pressurized water reactor,AP-1000,2036.0,,,,,,,2036,,,,,,,,,43.7497,23.7685,exact,,Vratsa,,,Eastern Europe,Europe,L100000500097,G100000500718,https://www.gem.wiki/Kozloduy_nuclear_power_plant,1000.0
