year,region,capacity_gw,generation_twh,unit_count
2025,Americas,123.265,971.4708600000001,121
2026,Americas,123.266,971.4783060000001,122
2027,Americas,124.676,981.977166,128
2028,Americas,127.43,1002.4834500000001,131
2029,Americas,129.871,1020.37794,162
2030,Americas,127.284,999.103842,171
2031,Americas,126.248,990.0985619999999,170
2032,Americas,124.209,973.882926,171
2033,Americas,119.231,934.364814,169
2034,Americas,111.034,869.608266,161
2035,Americas,105.628,826.312842,165
2036,Americas,104.77,818.4971700000001,171
2037,Americas,100.691,786.338334,167
2038,Americas,97.545,761.5352700000001,164
2039,Americas,96.624,754.2741060000001,163
2040,Americas,92.643,722.8879019999999,159
2041,Americas,89.279,696.366126,156
2042,Americas,87.211,680.062014,154
2043,Americas,83.455,650.4497100000001,150
2044,Americas,75.159,585.044046,142
2045,Americas,66.184,514.285146,134
2046,Americas,56.898,441.07432199999994,126
2047,Americas,50.12,387.63657,120
2048,Americas,42.334,326.25174599999997,114
2049,Americas,39.751,305.887374,112
2050,Americas,34.263,262.619982,107
2025,Asia,147.368,1149.911622,162
2026,Asia,158.542,1232.9170020000001,173
2027,Asia,168.003,1303.3636080000003,182
2028,Asia,178.803,1383.7804080000003,191
2029,Asia,190.354,1469.789154,203
2030,Asia,193.054,1489.8933540000003,206
2031,Asia,204.267,1573.3853519999998,218
2032,Asia,207.517,1597.584852,223
2033,Asia,208.917,1608.009252,224
2034,Asia,208.091,1601.4970680000001,223
2035,Asia,212.665,1635.193284,230
2036,Asia,211.839,1628.6811,229
2037,Asia,212.439,1633.1487000000002,231
2038,Asia,212.439,1633.1487000000002,231
2039,Asia,212.439,1633.1487000000002,231
2040,Asia,212.439,1633.1487000000002,231
2041,Asia,212.239,1631.5719000000001,230
2042,Asia,212.239,1631.5719000000001,230
2043,Asia,211.558,1626.202896,229
2044,Asia,210.668,1619.186136,228
2045,Asia,206.987,1590.165132,223
2046,Asia,204.696,1572.102888,220
2047,Asia,203.672,1564.029672,219
2048,Asia,202.658,1556.035296,218
2049,Asia,201.647,1548.0645719999998,217
2050,Asia,201.647,1548.0645719999998,217
2025,Europe,159.768,1258.3052340000002,167
2026,Europe,159.788,1258.454154,168
2027,Europe,159.808,1258.603074,169
2028,Europe,160.501,1263.763152,174
2029,Europe,163.091,1282.8818520000002,175
2030,Europe,177.331,1388.912892,195
2031,Europe,178.157,1395.0632879999998,197
2032,Europe,182.98,1430.62626,200
2033,Europe,186.775,1458.02754,202
2034,Europe,187.485,1462.0002,202
2035,Europe,193.549,1505.165976,205
2036,Europe,199.349,1548.352776,211
2037,Europe,203.619,1579.2711960000001,212
2038,Europe,204.819,1588.206396,213
2039,Europe,200.032,1550.465688,208
2040,Europe,195.788,1515.034992,203
2041,Europe,183.917,1421.444028,190
2042,Europe,182.142,1407.449928,187
2043,Europe,173.921,1342.635564,178
2044,Europe,164.803,1270.7492519999998,168
2045,Europe,150.465,1157.70846,154
2046,Europe,140.405,1078.3954199999998,145
2047,Europe,131.82,1010.7112799999999,137
2048,Europe,119.903,916.7576519999998,126
2049,Europe,109.575,835.3317,114
2050,Europe,107.131,816.0632039999999,111
2025,Africa,1.94,15.29496,2
2026,Africa,3.14,24.230159999999998,3
2027,Africa,3.14,24.230159999999998,3
2028,Africa,3.14,24.230159999999998,3
2029,Africa,6.74,51.03576,6
2030,Africa,6.74,51.03576,6
2031,Africa,7.74,58.48176,7
2032,Africa,7.74,58.48176,7
2033,Africa,7.74,58.48176,7
2034,Africa,9.74,73.37376,9
2035,Africa,12.74,95.71176,12
2036,Africa,12.74,95.71176,12
2037,Africa,12.74,95.71176,12
2038,Africa,12.74,95.71176,12
2039,Africa,12.74,95.71176,12
2040,Africa,12.74,95.71176,12
2041,Africa,12.74,95.71176,12
2042,Africa,12.74,95.71176,12
2043,Africa,12.74,95.71176,12
2044,Africa,11.77,88.06428,11
2045,Africa,10.8,80.4168,10
2046,Africa,10.8,80.4168,10
2047,Africa,10.8,80.4168,10
2048,Africa,10.8,80.4168,10
2049,Africa,10.8,80.4168,10
2050,Africa,10.8,80.4168,10
