Date Last Researched,Country/Area,Project Name,Unit Name,Project Name in Local Language / Script,Other Name(s),Capacity (MW),Status,Reactor Type,Model,Start Year,Retirement Year,Planned Retirement,Cancellation Year,Construction Start Date,First Criticality Date,First Grid Connection,Commercial Operation Date,Retirement Date,Owner,Owner Name in Local Language / Script,Operator,Operator Name in Local Language / Script,Reference Net Capacity (MW),Design Net Capacity (MW),Thermal Capacity (MWt),Latitude,Longitude,Location Accuracy,City,"Local Area (taluk, county)","Major Area (prefecture, district)",State/Province,Subregion,Region,GEM location ID,GEM unit ID,Wiki URL,capacity_numeric
2024-05-22,Argentina,Atucha nuclear power plant,1,,Unit IV (Phase 3),362.0,operating,pressurized heavy water reactor,PHWR KWU,1974.0,,,,1968-06-01,1974-01-13,1974-03-19,1974-06-24,,Nucleoelectrica Argentina SA [100%],,Nucleoelectrica Argentina,,340.0,319.0,1179.0,-33.96701,-59.2095,exact,,,Partido de Zárate,Buenos Aires,Latin America and the Caribbean,Americas,L100000500166,G100000500502,https://www.gem.wiki/Atucha_nuclear_power_plant,362.0
2024-05-22,Argentina,Atucha nuclear power plant,2,,Unit IV (Phase 3),745.0,operating,pressurized heavy water reactor,PHWR KWU,2016.0,,,,1981-07-13,2014-06-02,2014-06-24,2016-05-25,,Nucleoelectrica Argentina SA [100%],,Nucleoelectrica Argentina,,693.0,692.0,2160.0,-33.9672,-59.2073,exact,,,Partido de Zárate,Buenos Aires,Latin America and the Caribbean,Americas,L100000500166,G100000500382,https://www.gem.wiki/Atucha_nuclear_power_plant,745.0
2025-07-09,Argentina,Atucha nuclear power plant,3,,Unit IV (Phase 3),1150.0,shelved,pressurized water reactor,Hualong One,,,,,,,,,,China National Nuclear Corp [100%],中国核工业集团有限公司,Nucleoelectrica Argentina,,,,,-33.9672,-59.2075,exact,,,Partido de Zárate,Buenos Aires,Latin America and the Caribbean,Americas,L100000500166,G100000500646,https://www.gem.wiki/Atucha_nuclear_power_plant,1150.0
2025-07-09,Argentina,Atucha nuclear power plant,SMR 1,,Unit IV (Phase 3),300.0,announced,small modular reactor,ACR-300,2030.0,,,,,,,2030,,,,,,,,,-33.968699061612,-59.2077360343795,exact,Atucha,,,,Latin America and the Caribbean,Americas,L100000500166,G100001055220,https://www.gem.wiki/Atucha_nuclear_power_plant,300.0
2025-07-09,Argentina,Atucha nuclear power plant,SMR 2,,Unit IV (Phase 3),300.0,announced,small modular reactor,ACR-300,,,,,,,,,,,,,,,,,-33.968699061612,-59.2077360343795,exact,Atucha,,,,Latin America and the Caribbean,Americas,L100000500166,G100001055221,https://www.gem.wiki/Atucha_nuclear_power_plant,300.0
2025-07-09,Argentina,Atucha nuclear power plant,SMR 3,,Unit IV (Phase 3),300.0,announced,small modular reactor,ACR-300,,,,,,,,,,,,,,,,,-33.968699061612,-59.2077360343795,exact,Atucha,,,,Latin America and the Caribbean,Americas,L100000500166,G100001055222,https://www.gem.wiki/Atucha_nuclear_power_plant,300.0
2025-07-09,Argentina,Atucha nuclear power plant,SMR 4,,Unit IV (Phase 3),300.0,announced,small modular reactor,ACR-300,,,,,,,,,,,,,,,,,-33.968699061612,-59.2077360343795,exact,Atucha,,,,Latin America and the Caribbean,Americas,L100000500166,G100001055223,https://www.gem.wiki/Atucha_nuclear_power_plant,300.0
2025-07-09,Argentina,CAREM nuclear power plant,--,Central Argentina de Elementos Modulares,CAREM25,29.0,mothballed,pressurized water reactor,CAREM Prototype (Integrated-PWR),,,,,2015-08-25,,,,,Comision Nacional De Energia Atomica [100%],,Comision Nacional De Energia Atomica,,25.0,25.0,100.0,-33.9678,-59.21301,exact,,,Partido de Zárate,Buenos Aires,Latin America and the Caribbean,Americas,L100000500252,G100000500600,https://www.gem.wiki/CAREM_nuclear_power_plant,29.0
2024-05-22,Argentina,Embalse nuclear power plant,--,,,656.0,operating,pressurized heavy water reactor,CANDU 6,1984.0,,,,1974-04-01,1983-03-13,1983-04-25,1984-01-20,,Nucleoelectrica Argentina SA [100%],,Nucleoelectrica Argentina,,608.0,608.0,2064.0,-32.2316,-64.4422,exact,,Pedanía Cañada de Álvarez,Departamento Calamuchita,Córdoba,Latin America and the Caribbean,Americas,L100000500169,G100000500385,https://www.gem.wiki/Embalse_nuclear_power_plant,656.0
2024-05-20,Armenia,Armenian nuclear power plant,1,Հայկական ատոմային էլեկտրակայան,Metsamor,408.0,retired,pressurized water reactor,VVER V-270,1977.0,1989.0,N,,1969-07-01,1976-12-15,1976-12-22,1977-10-06,1989-02-25,Ministry Of Territorial Administration And Infrastructure [100%],,Closed Joint Stock Company Armenian NPP,,376.0,376.0,1375.0,40.1817,44.1423,exact,,,Vagharshapat region,Armavir Province,Western Asia,Asia,L100000500203,G100000500481,https://www.gem.wiki/Armenian_nuclear_power_plant,408.0
2024-05-20,Armenia,Armenian nuclear power plant,2,Հայկական ատոմային էլեկտրակայան,Metsamor,448.0,operating,pressurized water reactor,VVER V-270,1980.0,2026.0,Y,,1975-07-01,1980-01-01,1980-01-05,1980-05-03,2026,Ministry Of Territorial Administration And Infrastructure [100%],,Closed Joint Stock Company Armenian NPP,,416.0,375.0,1375.0,40.1817,44.1423,exact,,,Vagharshapat region,Armavir Province,Western Asia,Asia,L100000500203,G100000500482,https://www.gem.wiki/Armenian_nuclear_power_plant,448.0
2025-07-08,Armenia,Armenian nuclear power plant,3,Հայկական ատոմային էլեկտրակայան,Metsamor,1200.0,announced,unknown,unknown,,,,,,,,,,,,,,,,,40.1817,44.1423,exact,,,Vagharshapat region,Armavir Province,Western Asia,Asia,L100000500203,G100000500714,https://www.gem.wiki/Armenian_nuclear_power_plant,1200.0
2024-05-08,Austria,Zwentendorf nuclear power plant,1,,,723.0,cancelled,boiling water reactor,unknown,,,,1978.0,1971-05-01,,,,,,,Tullnerfeld,,,692.0,,48.3546,15.88501,exact,,Bezirk Tulln,,Lower Austria,Western Europe,Europe,L100000500381,G100000501048,https://www.gem.wiki/Zwentendorf_nuclear_power_plant,723.0
2024-05-14,Azerbaijan,Navai New nuclear power plant,1,,,1500.0,cancelled,unknown,unknown,,,,2013.0,,,,,,,,,,,,,40.0161,49.1355,approximate,Navahi,,,Hajigabul District,Western Asia,Asia,L100000500382,G100000501049,https://www.gem.wiki/Navai_New_nuclear_power_plant,1500.0
