year,region,generation_twh,capacity_gw,unit_count,scenario,target_generation_twh,gap_twh,gap_percentage,alignment
2019,Africa,0.0,,,IEA_NZE_2050,139.6,139.6,100.0,Major shortfall
2019,Asia,0.0,,,IEA_NZE_2050,1256.4,1256.4,100.0,Major shortfall
2019,Europe,0.0,,,IEA_NZE_2050,558.4,558.4,100.0,Major shortfall
2019,Latin America and the Caribbean,0.0,,,IEA_NZE_2050,139.6,139.6,100.0,Major shortfall
2019,Northern America,0.0,,,IEA_NZE_2050,558.4,558.4,100.0,Major shortfall
2019,Oceania,0.0,,,IEA_NZE_2050,83.75999999999999,83.75999999999999,100.0,Major shortfall
2019,Western Asia,0.0,,,IEA_NZE_2050,55.84,55.84,100.0,Major shortfall
2020,Africa,0.0,,,IEA_NZE_2050,134.9,134.9,100.0,Major shortfall
2020,Asia,0.0,,,IEA_NZE_2050,1214.1000000000001,1214.1000000000001,100.0,Major shortfall
2020,Europe,0.0,,,IEA_NZE_2050,539.6,539.6,100.0,Major shortfall
2020,Latin America and the Caribbean,0.0,,,IEA_NZE_2050,134.9,134.9,100.0,Major shortfall
2020,Northern America,0.0,,,IEA_NZE_2050,539.6,539.6,100.0,Major shortfall
2020,Oceania,0.0,,,IEA_NZE_2050,80.94,80.94,100.0,Major shortfall
2020,Western Asia,0.0,,,IEA_NZE_2050,53.96,53.96,100.0,Major shortfall
2025,Africa,15.29496,1.94,2.0,IEA_NZE_2050,161.875,146.58004,90.55137606177605,Major shortfall
2025,Americas,971.47086,123.265,121.0,,0.0,-971.47086,0.0,On track
2025,Asia,1149.911622,147.368,162.0,IEA_NZE_2050,1456.875,306.9633779999999,21.06998733590733,Shortfall
2025,Europe,1258.3052340000002,159.768,167.0,IEA_NZE_2050,647.5,-610.8052340000002,-94.33285467181469,Exceeds target
2025,Latin America and the Caribbean,0.0,,,IEA_NZE_2050,161.875,161.875,100.0,Major shortfall
2025,Northern America,0.0,,,IEA_NZE_2050,647.5,647.5,100.0,Major shortfall
2025,Oceania,0.0,,,IEA_NZE_2050,97.125,97.125,100.0,Major shortfall
2025,Western Asia,0.0,,,IEA_NZE_2050,64.75,64.75,100.0,Major shortfall
2026,Africa,24.23016,3.14,3.0,,0.0,-24.23016,0.0,On track
2026,Americas,971.478306,123.266,122.0,,0.0,-971.478306,0.0,On track
2026,Asia,1232.917002,158.542,173.0,,0.0,-1232.917002,0.0,On track
2026,Europe,1258.454154,159.788,168.0,,0.0,-1258.454154,0.0,On track
2027,Africa,24.23016,3.14,3.0,,0.0,-24.23016,0.0,On track
2027,Americas,981.977166,124.676,128.0,,0.0,-981.977166,0.0,On track
2027,Asia,1303.3636080000003,168.003,182.0,,0.0,-1303.3636080000003,0.0,On track
2027,Europe,1258.603074,159.808,169.0,,0.0,-1258.603074,0.0,On track
2028,Africa,24.23016,3.14,3.0,,0.0,-24.23016,0.0,On track
2028,Americas,1002.48345,127.43,131.0,,0.0,-1002.48345,0.0,On track
2028,Asia,1383.7804080000003,178.803,191.0,,0.0,-1383.7804080000003,0.0,On track
2028,Europe,1263.763152,160.501,174.0,,0.0,-1263.763152,0.0,On track
2029,Africa,51.03576,6.74,6.0,,0.0,-51.03576,0.0,On track
2029,Americas,1020.37794,129.871,162.0,,0.0,-1020.37794,0.0,On track
2029,Asia,1469.789154,190.354,203.0,,0.0,-1469.789154,0.0,On track
2029,Europe,1282.8818520000002,163.091,175.0,,0.0,-1282.8818520000002,0.0,On track
2030,Africa,51.03576,6.74,6.0,IEA_NZE_2050,188.85000000000002,137.81424,72.97550436854647,Major shortfall
2030,Americas,999.103842,127.284,171.0,,0.0,-999.103842,0.0,On track
2030,Asia,1489.8933540000005,193.054,206.0,IEA_NZE_2050,1699.65,209.7566459999996,12.341167063807228,Shortfall
2030,Europe,1388.912892,177.331,195.0,IEA_NZE_2050,755.4000000000001,-633.512892,-83.86456076250991,Exceeds target
2030,Latin America and the Caribbean,0.0,,,IEA_NZE_2050,188.85000000000002,188.85000000000002,100.0,Major shortfall
2030,Northern America,0.0,,,IEA_NZE_2050,755.4000000000001,755.4000000000001,100.0,Major shortfall
2030,Oceania,0.0,,,IEA_NZE_2050,113.31,113.31,100.0,Major shortfall
2030,Western Asia,0.0,,,IEA_NZE_2050,75.54,75.54,100.0,Major shortfall
2031,Africa,58.48176,7.74,7.0,,0.0,-58.48176,0.0,On track
2031,Americas,990.098562,126.248,170.0,,0.0,-990.098562,0.0,On track
2031,Asia,1573.3853519999998,204.267,218.0,,0.0,-1573.3853519999998,0.0,On track
2031,Europe,1395.0632879999998,178.157,197.0,,0.0,-1395.0632879999998,0.0,On track
2032,Africa,58.48176,7.74,7.0,,0.0,-58.48176,0.0,On track
2032,Americas,973.882926,124.209,171.0,,0.0,-973.882926,0.0,On track
2032,Asia,1597.584852,207.517,223.0,,0.0,-1597.584852,0.0,On track
2032,Europe,1430.62626,182.98,200.0,,0.0,-1430.62626,0.0,On track
2033,Africa,58.48176,7.74,7.0,,0.0,-58.48176,0.0,On track
2033,Americas,934.364814,119.231,169.0,,0.0,-934.364814,0.0,On track
2033,Asia,1608.009252,208.917,224.0,,0.0,-1608.009252,0.0,On track
2033,Europe,1458.02754,186.775,202.0,,0.0,-1458.02754,0.0,On track
2034,Africa,73.37376,9.74,9.0,,0.0,-73.37376,0.0,On track
2034,Americas,869.608266,111.034,161.0,,0.0,-869.608266,0.0,On track
2034,Asia,1601.497068,208.091,223.0,,0.0,-1601.497068,0.0,On track
2034,Europe,1462.0002,187.485,202.0,,0.0,-1462.0002,0.0,On track
2035,Africa,95.71176,12.74,12.0,IEA_NZE_2050,215.8,120.08824000000001,55.647933271547736,Major shortfall
2035,Americas,826.312842,105.628,165.0,,0.0,-826.312842,0.0,On track
2035,Asia,1635.193284,212.665,230.0,IEA_NZE_2050,1942.2,307.0067160000001,15.807162805066424,Shortfall
2035,Europe,1505.165976,193.549,205.0,IEA_NZE_2050,863.2,-641.965976,-74.37047914735867,Exceeds target
2035,Latin America and the Caribbean,0.0,,,IEA_NZE_2050,215.8,215.8,100.0,Major shortfall
2035,Northern America,0.0,,,IEA_NZE_2050,863.2,863.2,100.0,Major shortfall
2035,Oceania,0.0,,,IEA_NZE_2050,129.48,129.48,100.0,Major shortfall
2035,Western Asia,0.0,,,IEA_NZE_2050,86.32000000000001,86.32000000000001,100.0,Major shortfall
2036,Africa,95.71176,12.74,12.0,,0.0,-95.71176,0.0,On track
2036,Americas,818.4971700000001,104.77,171.0,,0.0,-818.4971700000001,0.0,On track
2036,Asia,1628.6811,211.839,229.0,,0.0,-1628.6811,0.0,On track
2036,Europe,1548.352776,199.349,211.0,,0.0,-1548.352776,0.0,On track
2037,Africa,95.71176,12.74,12.0,,0.0,-95.71176,0.0,On track
2037,Americas,786.338334,100.691,167.0,,0.0,-786.338334,0.0,On track
2037,Asia,1633.1487000000002,212.439,231.0,,0.0,-1633.1487000000002,0.0,On track
2037,Europe,1579.271196,203.619,212.0,,0.0,-1579.271196,0.0,On track
2038,Africa,95.71176,12.74,12.0,,0.0,-95.71176,0.0,On track
2038,Americas,761.5352700000001,97.545,164.0,,0.0,-761.5352700000001,0.0,On track
2038,Asia,1633.1487000000002,212.439,231.0,,0.0,-1633.1487000000002,0.0,On track
2038,Europe,1588.206396,204.819,213.0,,0.0,-1588.206396,0.0,On track
2039,Africa,95.71176,12.74,12.0,,0.0,-95.71176,0.0,On track
2039,Americas,754.2741060000001,96.624,163.0,,0.0,-754.2741060000001,0.0,On track
2039,Asia,1633.1487000000002,212.439,231.0,,0.0,-1633.1487000000002,0.0,On track
2039,Europe,1550.465688,200.032,208.0,,0.0,-1550.465688,0.0,On track
2040,Africa,95.71176,12.74,12.0,IEA_NZE_2050,242.75,147.03824,60.57188053553039,Major shortfall
2040,Americas,722.8879019999999,92.643,159.0,,0.0,-722.8879019999999,0.0,On track
2040,Asia,1633.1487000000002,212.439,231.0,IEA_NZE_2050,2184.75,551.6012999999998,25.2477995193958,Shortfall
2040,Europe,1515.034992,195.788,203.0,IEA_NZE_2050,971.0,-544.0349920000001,-56.028320494335745,Exceeds target
2040,Latin America and the Caribbean,0.0,,,IEA_NZE_2050,242.75,242.75,100.0,Major shortfall
2040,Northern America,0.0,,,IEA_NZE_2050,971.0,971.0,100.0,Major shortfall
2040,Oceania,0.0,,,IEA_NZE_2050,145.65,145.65,100.0,Major shortfall
2040,Western Asia,0.0,,,IEA_NZE_2050,97.10000000000001,97.10000000000001,100.0,Major shortfall
2041,Africa,95.71176,12.74,12.0,,0.0,-95.71176,0.0,On track
2041,Americas,696.366126,89.279,156.0,,0.0,-696.366126,0.0,On track
2041,Asia,1631.5719,212.239,230.0,,0.0,-1631.5719,0.0,On track
2041,Europe,1421.444028,183.917,190.0,,0.0,-1421.444028,0.0,On track
2042,Africa,95.71176,12.74,12.0,,0.0,-95.71176,0.0,On track
2042,Americas,680.062014,87.211,154.0,,0.0,-680.062014,0.0,On track
2042,Asia,1631.5719,212.239,230.0,,0.0,-1631.5719,0.0,On track
2042,Europe,1407.449928,182.142,187.0,,0.0,-1407.449928,0.0,On track
2043,Africa,95.71176,12.74,12.0,,0.0,-95.71176,0.0,On track
2043,Americas,650.4497100000001,83.455,150.0,,0.0,-650.4497100000001,0.0,On track
2043,Asia,1626.202896,211.558,229.0,,0.0,-1626.202896,0.0,On track
2043,Europe,1342.635564,173.921,178.0,,0.0,-1342.635564,0.0,On track
2044,Africa,88.06428,11.77,11.0,,0.0,-88.06428,0.0,On track
2044,Americas,585.044046,75.159,142.0,,0.0,-585.044046,0.0,On track
2044,Asia,1619.186136,210.668,228.0,,0.0,-1619.186136,0.0,On track
2044,Europe,1270.7492519999998,164.803,168.0,,0.0,-1270.7492519999998,0.0,On track
2045,Africa,80.4168,10.8,10.0,IEA_NZE_2050,258.8,178.38320000000002,68.92704791344669,Major shortfall
2045,Americas,514.285146,66.184,134.0,,0.0,-514.285146,0.0,On track
2045,Asia,1590.165132,206.987,223.0,IEA_NZE_2050,2329.2000000000003,739.0348680000002,31.729128799587848,Major shortfall
2045,Europe,1157.70846,150.465,154.0,IEA_NZE_2050,1035.2,-122.50846000000001,-11.83427936630603,Exceeds target
2045,Latin America and the Caribbean,0.0,,,IEA_NZE_2050,258.8,258.8,100.0,Major shortfall
2045,Northern America,0.0,,,IEA_NZE_2050,1035.2,1035.2,100.0,Major shortfall
2045,Oceania,0.0,,,IEA_NZE_2050,155.28,155.28,100.0,Major shortfall
2045,Western Asia,0.0,,,IEA_NZE_2050,103.52,103.52,100.0,Major shortfall
2046,Africa,80.4168,10.8,10.0,,0.0,-80.4168,0.0,On track
2046,Americas,441.074322,56.898,126.0,,0.0,-441.074322,0.0,On track
2046,Asia,1572.102888,204.696,220.0,,0.0,-1572.102888,0.0,On track
2046,Europe,1078.3954199999998,140.405,145.0,,0.0,-1078.3954199999998,0.0,On track
2047,Africa,80.4168,10.8,10.0,,0.0,-80.4168,0.0,On track
2047,Americas,387.63657,50.12,120.0,,0.0,-387.63657,0.0,On track
2047,Asia,1564.029672,203.672,219.0,,0.0,-1564.029672,0.0,On track
2047,Europe,1010.71128,131.82,137.0,,0.0,-1010.71128,0.0,On track
2048,Africa,80.4168,10.8,10.0,,0.0,-80.4168,0.0,On track
2048,Americas,326.251746,42.334,114.0,,0.0,-326.251746,0.0,On track
2048,Asia,1556.035296,202.658,218.0,,0.0,-1556.035296,0.0,On track
2048,Europe,916.7576519999998,119.903,126.0,,0.0,-916.7576519999998,0.0,On track
2049,Africa,80.4168,10.8,10.0,,0.0,-80.4168,0.0,On track
2049,Americas,305.887374,39.751,112.0,,0.0,-305.887374,0.0,On track
2049,Asia,1548.0645719999998,201.647,217.0,,0.0,-1548.0645719999998,0.0,On track
2049,Europe,835.3317,109.575,114.0,,0.0,-835.3317,0.0,On track
2050,Africa,80.4168,10.8,10.0,IEA_NZE_2050,274.85,194.43320000000003,70.74156812806987,Major shortfall
2050,Americas,262.619982,34.263,107.0,,0.0,-262.619982,0.0,On track
2050,Asia,1548.0645719999998,201.647,217.0,IEA_NZE_2050,2473.65,925.5854280000003,37.41780073979747,Major shortfall
2050,Europe,816.0632039999999,107.131,111.0,IEA_NZE_2050,1099.4,283.33679600000016,25.771947971620897,Shortfall
2050,Latin America and the Caribbean,0.0,,,IEA_NZE_2050,274.85,274.85,100.0,Major shortfall
2050,Northern America,0.0,,,IEA_NZE_2050,1099.4,1099.4,100.0,Major shortfall
2050,Oceania,0.0,,,IEA_NZE_2050,164.91,164.91,100.0,Major shortfall
2050,Western Asia,0.0,,,IEA_NZE_2050,109.94,109.94,100.0,Major shortfall
